model_name	token_idx	token	token_category
google-t5/t5-base	0	<pad>	LATIN
google-t5/t5-base	1	</s>	S
google-t5/t5-base	2	<unk>	LATIN
google-t5/t5-base	3		Unknown
google-t5/t5-base	4	X	LATIN
google-t5/t5-base	5	.	P
google-t5/t5-base	6	,	P
google-t5/t5-base	7	s	LATIN
google-t5/t5-base	8	the	LATIN
google-t5/t5-base	9	a	LATIN
google-t5/t5-base	10	:	P
google-t5/t5-base	11	and	LATIN
google-t5/t5-base	12	to	LATIN
google-t5/t5-base	13	of	LATIN
google-t5/t5-base	14	fill	LATIN
google-t5/t5-base	15	e	LATIN
google-t5/t5-base	16	in	LATIN
google-t5/t5-base	17	t	LATIN
google-t5/t5-base	18	-	P
google-t5/t5-base	19	is	LATIN
google-t5/t5-base	20	de	LATIN
google-t5/t5-base	21	for	LATIN
google-t5/t5-base	22	’	P
google-t5/t5-base	23	i	LATIN
google-t5/t5-base	24	that	LATIN
google-t5/t5-base	25	you	LATIN
google-t5/t5-base	26	d	LATIN
google-t5/t5-base	27	I	LATIN
google-t5/t5-base	28	with	LATIN
google-t5/t5-base	29	n	LATIN
google-t5/t5-base	30	on	LATIN
google-t5/t5-base	31	'	P
google-t5/t5-base	32	o	LATIN
google-t5/t5-base	33	are	LATIN
google-t5/t5-base	34	it	LATIN
google-t5/t5-base	35	en	LATIN
google-t5/t5-base	36	be	LATIN
google-t5/t5-base	37	The	LATIN
google-t5/t5-base	38	as	LATIN
google-t5/t5-base	39	your	LATIN
google-t5/t5-base	40	l	LATIN
google-t5/t5-base	41	(	P
google-t5/t5-base	42	or	LATIN
google-t5/t5-base	43	have	LATIN
google-t5/t5-base	44	at	LATIN
google-t5/t5-base	45	from	LATIN
google-t5/t5-base	46	an	LATIN
google-t5/t5-base	47	was	LATIN
google-t5/t5-base	48	this	LATIN
google-t5/t5-base	49	er	LATIN
google-t5/t5-base	50	la	LATIN
google-t5/t5-base	51	m	LATIN
google-t5/t5-base	52	r	LATIN
google-t5/t5-base	53	ing	LATIN
google-t5/t5-base	54	can	LATIN
google-t5/t5-base	55	!	P
google-t5/t5-base	56	will	LATIN
google-t5/t5-base	57	by	LATIN
google-t5/t5-base	58	?	P
google-t5/t5-base	59	not	LATIN
google-t5/t5-base	60	re	LATIN
google-t5/t5-base	61	)	P
google-t5/t5-base	62	we	LATIN
google-t5/t5-base	63	y	LATIN
google-t5/t5-base	64	und	LATIN
google-t5/t5-base	65	has	LATIN
google-t5/t5-base	66	all	LATIN
google-t5/t5-base	67	die	LATIN
google-t5/t5-base	68	but	LATIN
google-t5/t5-base	69	our	LATIN
google-t5/t5-base	70	their	LATIN
google-t5/t5-base	71	A	LATIN
google-t5/t5-base	72	more	LATIN
google-t5/t5-base	73	un	LATIN
google-t5/t5-base	74	der	LATIN
google-t5/t5-base	75	c	LATIN
google-t5/t5-base	76	u	LATIN
google-t5/t5-base	77	in	LATIN
google-t5/t5-base	78	so	LATIN
google-t5/t5-base	79	they	LATIN
google-t5/t5-base	80	one	LATIN
google-t5/t5-base	81	about	LATIN
google-t5/t5-base	82	my	LATIN
google-t5/t5-base	83	ul	LATIN
google-t5/t5-base	84	which	LATIN
google-t5/t5-base	85	à	LATIN
google-t5/t5-base	86	In	LATIN
google-t5/t5-base	87	/	P
google-t5/t5-base	88	he	LATIN
google-t5/t5-base	89	f	LATIN
google-t5/t5-base	90	le	LATIN
google-t5/t5-base	91	out	LATIN
google-t5/t5-base	92	also	LATIN
google-t5/t5-base	93	des	LATIN
google-t5/t5-base	94	It	LATIN
google-t5/t5-base	95	up	LATIN
google-t5/t5-base	96	"	P
google-t5/t5-base	97	time	LATIN
google-t5/t5-base	98	ă	LATIN
google-t5/t5-base	99	if	LATIN
google-t5/t5-base	100	This	LATIN
google-t5/t5-base	101	We	LATIN
google-t5/t5-base	102	p	LATIN
google-t5/t5-base	103	do	LATIN
google-t5/t5-base	104	–	P
google-t5/t5-base	105	“	P
google-t5/t5-base	106	on	LATIN
google-t5/t5-base	107	h	LATIN
google-t5/t5-base	108	si	LATIN
google-t5/t5-base	109	le	LATIN
google-t5/t5-base	110	les	LATIN
google-t5/t5-base	111	în	LATIN
google-t5/t5-base	112	his	LATIN
google-t5/t5-base	113	who	LATIN
google-t5/t5-base	114	like	LATIN
google-t5/t5-base	115	b	LATIN
google-t5/t5-base	116	when	LATIN
google-t5/t5-base	117	;	P
google-t5/t5-base	118	been	LATIN
google-t5/t5-base	119	other	LATIN
google-t5/t5-base	120	ly	LATIN
google-t5/t5-base	121	"	P
google-t5/t5-base	122	g	LATIN
google-t5/t5-base	123	cu	LATIN
google-t5/t5-base	124	care	LATIN
google-t5/t5-base	125	what	LATIN
google-t5/t5-base	126	new	LATIN
google-t5/t5-base	127	or	LATIN
google-t5/t5-base	128	some	LATIN
google-t5/t5-base	129	get	LATIN
google-t5/t5-base	130	were	LATIN
google-t5/t5-base	131	just	LATIN
google-t5/t5-base	132	there	LATIN
google-t5/t5-base	133	would	LATIN
google-t5/t5-base	134	S	LATIN
google-t5/t5-base	135	them	LATIN
google-t5/t5-base	136	any	LATIN
google-t5/t5-base	137	).	P
google-t5/t5-base	138	al	LATIN
google-t5/t5-base	139	into	LATIN
google-t5/t5-base	140	me	LATIN
google-t5/t5-base	141	had	LATIN
google-t5/t5-base	142	se	LATIN
google-t5/t5-base	143	make	LATIN
google-t5/t5-base	144	at	LATIN
google-t5/t5-base	145	than	LATIN
google-t5/t5-base	146	du	LATIN
google-t5/t5-base	147	over	LATIN
google-t5/t5-base	148	You	LATIN
google-t5/t5-base	149	how	LATIN
google-t5/t5-base	150	no	LATIN
google-t5/t5-base	151	people	LATIN
google-t5/t5-base	152	an	LATIN
google-t5/t5-base	153	”	P
google-t5/t5-base	154	é	LATIN
google-t5/t5-base	155	it	LATIN
google-t5/t5-base	156	If	LATIN
google-t5/t5-base	157	k	LATIN
google-t5/t5-base	158	pe	LATIN
google-t5/t5-base	159	is	LATIN
google-t5/t5-base	160	her	LATIN
google-t5/t5-base	161	work	LATIN
google-t5/t5-base	162	ve	LATIN
google-t5/t5-base	163	only	LATIN
google-t5/t5-base	164	may	LATIN
google-t5/t5-base	165	its	LATIN
google-t5/t5-base	166	first	LATIN
google-t5/t5-base	167	most	LATIN
google-t5/t5-base	168	well	LATIN
google-t5/t5-base	169	use	LATIN
google-t5/t5-base	170	zu	LATIN
google-t5/t5-base	171	pour	LATIN
google-t5/t5-base	172	z	LATIN
google-t5/t5-base	173	il	LATIN
google-t5/t5-base	174	need	LATIN
google-t5/t5-base	175	these	LATIN
google-t5/t5-base	176	din	LATIN
google-t5/t5-base	177	den	LATIN
google-t5/t5-base	178	us	LATIN
google-t5/t5-base	179	able	LATIN
google-t5/t5-base	180	S	LATIN
google-t5/t5-base	181	mit	LATIN
google-t5/t5-base	182	very	LATIN
google-t5/t5-base	183	am	LATIN
google-t5/t5-base	184	&	P
google-t5/t5-base	185	au	LATIN
google-t5/t5-base	186	many	LATIN
google-t5/t5-base	187	mai	LATIN
google-t5/t5-base	188	A	LATIN
google-t5/t5-base	189	th	LATIN
google-t5/t5-base	190	through	LATIN
google-t5/t5-base	191	pentru	LATIN
google-t5/t5-base	192	two	LATIN
google-t5/t5-base	193	von	LATIN
google-t5/t5-base	194	way	LATIN
google-t5/t5-base	195	ll	LATIN
google-t5/t5-base	196	I	LATIN
google-t5/t5-base	197	ce	LATIN
google-t5/t5-base	198	și	LATIN
google-t5/t5-base	199	help	LATIN
google-t5/t5-base	200	best	LATIN
google-t5/t5-base	201	),	P
google-t5/t5-base	202	un	LATIN
google-t5/t5-base	203	years	LATIN
google-t5/t5-base	204	2	N
google-t5/t5-base	205	C	LATIN
google-t5/t5-base	206	nu	LATIN
google-t5/t5-base	207	good	LATIN
google-t5/t5-base	208	v	LATIN
google-t5/t5-base	209	1	N
google-t5/t5-base	210	w	LATIN
google-t5/t5-base	211	das	LATIN
google-t5/t5-base	212	ca	LATIN
google-t5/t5-base	213	where	LATIN
google-t5/t5-base	214	know	LATIN
google-t5/t5-base	215	year	LATIN
google-t5/t5-base	216	He	LATIN
google-t5/t5-base	217	see	LATIN
google-t5/t5-base	218	für	LATIN
google-t5/t5-base	219	auf	LATIN
google-t5/t5-base	220	3	N
google-t5/t5-base	221	de	LATIN
google-t5/t5-base	222	est	LATIN
google-t5/t5-base	223	back	LATIN
google-t5/t5-base	224	such	LATIN
google-t5/t5-base	225	should	LATIN
google-t5/t5-base	226	x	LATIN
google-t5/t5-base	227	after	LATIN
google-t5/t5-base	228	could	LATIN
google-t5/t5-base	229	ist	LATIN
google-t5/t5-base	230	now	LATIN
google-t5/t5-base	231	much	LATIN
google-t5/t5-base	232	and	LATIN
google-t5/t5-base	233	...	P
google-t5/t5-base	234	home	LATIN
google-t5/t5-base	235	to	LATIN
google-t5/t5-base	236	ein	LATIN
google-t5/t5-base	237	even	LATIN
google-t5/t5-base	238	que	LATIN
google-t5/t5-base	239	day	LATIN
google-t5/t5-base	240	take	LATIN
google-t5/t5-base	241	want	LATIN
google-t5/t5-base	242	For	LATIN
google-t5/t5-base	243	said	LATIN
google-t5/t5-base	244	sur	LATIN
google-t5/t5-base	245	une	LATIN
google-t5/t5-base	246	să	LATIN
google-t5/t5-base	247	dans	LATIN
google-t5/t5-base	248	great	LATIN
google-t5/t5-base	249	este	LATIN
google-t5/t5-base	250	because	LATIN
google-t5/t5-base	251	information	LATIN
google-t5/t5-base	252	ului	LATIN
google-t5/t5-base	253	find	LATIN
google-t5/t5-base	254	C	LATIN
google-t5/t5-base	255	she	LATIN
google-t5/t5-base	256	im	LATIN
google-t5/t5-base	257	ation	LATIN
google-t5/t5-base	258	then	LATIN
google-t5/t5-base	259	est	LATIN
google-t5/t5-base	260	par	LATIN
google-t5/t5-base	261	used	LATIN
google-t5/t5-base	262	E	LATIN
google-t5/t5-base	263	made	LATIN
google-t5/t5-base	264	So	LATIN
google-t5/t5-base	265	am	LATIN
google-t5/t5-base	266	eine	LATIN
google-t5/t5-base	267	şi	LATIN
google-t5/t5-base	268	business	LATIN
google-t5/t5-base	269	right	LATIN
google-t5/t5-base	270	here	LATIN
google-t5/t5-base	271	being	LATIN
google-t5/t5-base	272	B	LATIN
google-t5/t5-base	273	those	LATIN
google-t5/t5-base	274	before	LATIN
google-t5/t5-base	275	And	LATIN
google-t5/t5-base	276	P	LATIN
google-t5/t5-base	277	ers	LATIN
google-t5/t5-base	278	don	LATIN
google-t5/t5-base	279	B	LATIN
google-t5/t5-base	280	life	LATIN
google-t5/t5-base	281	go	LATIN
google-t5/t5-base	282	As	LATIN
google-t5/t5-base	283	M	LATIN
google-t5/t5-base	284	each	LATIN
google-t5/t5-base	285	qui	LATIN
google-t5/t5-base	286	place	LATIN
google-t5/t5-base	287	com	LATIN
google-t5/t5-base	288	ant	LATIN
google-t5/t5-base	289	sich	LATIN
google-t5/t5-base	290	There	LATIN
google-t5/t5-base	291	ar	LATIN
google-t5/t5-base	292	Sie	LATIN
google-t5/t5-base	293	own	LATIN
google-t5/t5-base	294	part	LATIN
google-t5/t5-base	295	ent	LATIN
google-t5/t5-base	296	world	LATIN
google-t5/t5-base	297	ment	LATIN
google-t5/t5-base	298	while	LATIN
google-t5/t5-base	299	But	LATIN
google-t5/t5-base	300	around	LATIN
google-t5/t5-base	301	L	LATIN
google-t5/t5-base	302	us	LATIN
google-t5/t5-base	303	plus	LATIN
google-t5/t5-base	304	To	LATIN
google-t5/t5-base	305	5	N
google-t5/t5-base	306	high	LATIN
google-t5/t5-base	307	long	LATIN
google-t5/t5-base	308	D	LATIN
google-t5/t5-base	309	D	LATIN
google-t5/t5-base	310	really	LATIN
google-t5/t5-base	311	nicht	LATIN
google-t5/t5-base	312	Le	LATIN
google-t5/t5-base	313	service	LATIN
google-t5/t5-base	314	4	N
google-t5/t5-base	315	different	LATIN
google-t5/t5-base	316	Die	LATIN
google-t5/t5-base	317	think	LATIN
google-t5/t5-base	318	—	P
google-t5/t5-base	319	auch	LATIN
google-t5/t5-base	320	look	LATIN
google-t5/t5-base	321	both	LATIN
google-t5/t5-base	322	lor	LATIN
google-t5/t5-base	323	down	LATIN
google-t5/t5-base	324	ten	LATIN
google-t5/t5-base	325	La	LATIN
google-t5/t5-base	326	off	LATIN
google-t5/t5-base	327	vous	LATIN
google-t5/t5-base	328	They	LATIN
google-t5/t5-base	329	M	LATIN
google-t5/t5-base	330	pas	LATIN
google-t5/t5-base	331	data	LATIN
google-t5/t5-base	332	T	LATIN
google-t5/t5-base	333	love	LATIN
google-t5/t5-base	334	every	LATIN
google-t5/t5-base	335	10	N
google-t5/t5-base	336	last	LATIN
google-t5/t5-base	337	same	LATIN
google-t5/t5-base	338	using	LATIN
google-t5/t5-base	339	free	LATIN
google-t5/t5-base	340	dem	LATIN
google-t5/t5-base	341	still	LATIN
google-t5/t5-base	342	ate	LATIN
google-t5/t5-base	343	ist	LATIN
google-t5/t5-base	344	between	LATIN
google-t5/t5-base	345	P	LATIN
google-t5/t5-base	346	be	LATIN
google-t5/t5-base	347	available	LATIN
google-t5/t5-base	348	man	LATIN
google-t5/t5-base	349	company	LATIN
google-t5/t5-base	350	G	LATIN
google-t5/t5-base	351	experience	LATIN
google-t5/t5-base	352	going	LATIN
google-t5/t5-base	353	site	LATIN
google-t5/t5-base	354	j	LATIN
google-t5/t5-base	355	are	LATIN
google-t5/t5-base	356	set	LATIN
google-t5/t5-base	357	2	N
google-t5/t5-base	358	system	LATIN
google-t5/t5-base	359	important	LATIN
google-t5/t5-base	360	few	LATIN
google-t5/t5-base	361	fi	LATIN
google-t5/t5-base	362	ich	LATIN
google-t5/t5-base	363	What	LATIN
google-t5/t5-base	364	services	LATIN
google-t5/t5-base	365	under	LATIN
google-t5/t5-base	366	When	LATIN
